Initial,Values,,,,,,,,,,,,,,
Type,Sphere,,,,,,,,,,,,,,
Radius:,,0.5,,Mass:,1,,Density:,1.90986,,,,,,,
Position XYZ,,0,10,0,,,,,,,,,,,
Velocity XYZ,,0,0,0,,,,,,,,,,,
Rotation XYZ,,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fluid:,,C1,0,C2,0,,Density,0,,,,,,,
Wind XYZ,,,0,0,0,,,,,,,,,,
Gravity XYZ,,,0,-9.81,0,,,,,,,,,,
Ground:,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Start,Simulation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time,68/60,sec,,PosX,0,PosY,3.6998,PosZ,0,VelX,0,VelY,-11.118,VelZ,0
Time,69/60,sec,,PosX,0,PosY,3.51314,PosZ,0,VelX,0,VelY,-11.2815,VelZ,0
Time,70/60,sec,,PosX,0,PosY,3.32375,PosZ,0,VelX,0,VelY,-11.445,VelZ,0
Time,71/60,sec,,PosX,0,PosY,3.13164,PosZ,0,VelX,0,VelY,-11.6085,VelZ,0
Time,72/60,sec,,PosX,0,PosY,2.9368,PosZ,0,VelX,0,VelY,-11.772,VelZ,0
Time,73/60,sec,,PosX,0,PosY,2.73924,PosZ,0,VelX,0,VelY,-11.9355,VelZ,0
Time,74/60,sec,,PosX,0,PosY,2.53895,PosZ,0,VelX,0,VelY,-12.099,VelZ,0
Time,75/60,sec,,PosX,0,PosY,2.33594,PosZ,0,VelX,0,VelY,-12.2625,VelZ,0
Time,76/60,sec,,PosX,0,PosY,2.1302,PosZ,0,VelX,0,VelY,-12.426,VelZ,0
Time,77/60,sec,,PosX,0,PosY,1.92174,PosZ,0,VelX,0,VelY,-12.5895,VelZ,0
Time,78/60,sec,,PosX,0,PosY,1.71055,PosZ,0,VelX,0,VelY,-12.753,VelZ,0
Time,79/60,sec,,PosX,0,PosY,1.49664,PosZ,0,VelX,0,VelY,-12.9165,VelZ,0
Time,80/60,sec,,PosX,0,PosY,1.28,PosZ,0,VelX,0,VelY,-13.08,VelZ,0
Time,81/60,sec,,PosX,0,PosY,1.06064,PosZ,0,VelX,0,VelY,-13.2435,VelZ,0
Time,82/60,sec,,PosX,0,PosY,0.838553,PosZ,0,VelX,0,VelY,-13.407,VelZ,0
Time,83/60,sec,,PosX,0,PosY,0.613741,PosZ,0,VelX,0,VelY,-13.5705,VelZ,0
Time,84/60,sec,,PosX,0,PosY,0.386204,PosZ,0,VelX,0,VelY,-13.734,VelZ,0
,,,,,,,,,,,,,,,
Simulation End,,,,,,,,,,,,,,,
